Left_len, Right_len, Left_Fx, Left_Fy, Right_Fx, Right_Fy, Left_Torque, Right_Torque, Pos_x, Pos_y,Pos_Stem_start_x, Pos_Stem_start_y, Pos_Stem_end_x, Pos_Stem_end_y, Rot, Apple_palm_angle, Apple_stem_angle, Stem_branch_angle
0.0982655, 0.0949794, 0.345408, -0.575057, 1.33395, -2.11869, 0, 0, -3.28779, 2.69098, -2.70001, 3.94667, -3.33357, 3.17299, 0, 1.56372, 0.0684088, -2.27634
0.0983576, 0.094636, 0.350241, -0.536925, 1.58198, -2.29261, 0, 0, -3.28779, 2.69098, -2.69999, 3.94236, -3.33617, 3.17082, 0, 1.56308, 0.0711975, -2.28128
0.0985836, 0.0944831, 0.316418, -0.454228, 1.77073, -2.38237, 0, 0, -3.28779, 2.69098, -2.69998, 3.93885, -3.33828, 3.16906, 0, 1.56249, 0.0734161, -2.2853
0.0988587, 0.0945025, 0.265856, -0.36388, 1.88716, -2.40518, 0, 0, -3.28779, 2.69098, -2.69998, 3.93629, -3.33986, 3.16781, 0, 1.56208, 0.0750998, -2.28826
0.0990537, 0.0945752, 0.231628, -0.308114, 1.95421, -2.41191, 0, 0, -3.28779, 2.69098, -2.7, 3.9348, -3.3408, 3.16709, 0, 1.56187, 0.0761532, -2.29
0.099114, 0.0946132, 0.226586, -0.298682, 1.98974, -2.43139, 0, 0, -3.28779, 2.69098, -2.70002, 3.93441, -3.34104, 3.16689, 0, 1.56184, 0.0764662, -2.29041
0.0990689, 0.0946252, 0.242107, -0.322284, 1.98251, -2.45024, 0, 0, -3.28779, 2.69098, -2.70006, 3.93511, -3.34063, 3.16721, 0, 1.56196, 0.0760461, -2.28955
0.0989643, 0.0946724, 0.265741, -0.363611, 1.9103, -2.43679, 0, 0, -3.28779, 2.69098, -2.7001, 3.93683, -3.33962, 3.16805, 0, 1.56224, 0.075011, -2.28756
0.0988251, 0.0947934, 0.291041, -0.41602, 1.77169, -2.37616, 0, 0, -3.28779, 2.69098, -2.70015, 3.93943, -3.33811, 3.16936, 0, 1.56269, 0.0734661, -2.28458
0.0986577, 0.0949675, 0.31559, -0.478159, 1.59315, -2.28248, 0, 0, -3.28779, 2.69098, -2.70019, 3.94274, -3.33614, 3.17101, 0, 1.56324, 0.0714279, -2.28075
0.0984591, 0.0951415, 0.338802, -0.551003, 1.4089, -2.18374, 0, 0, -3.28779, 2.69098, -2.70023, 3.94655, -3.33375, 3.17283, 0, 1.56381, 0.0688826, -2.27623
0.0982247, 0.0952737, 0.360873, -0.636496, 1.24034, -2.10004, 0, 0, -3.28779, 2.69098, -2.70026, 3.95064, -3.33104, 3.17468, 0, 1.56436, 0.0658876, -2.2712
0.0979513, 0.0953519, 0.381433, -0.735156, 1.09394, -2.03688, 0, 0, -3.28779, 2.69098, -2.70027, 3.95476, -3.32811, 3.17642, 0, 1.56486, 0.0625993, -2.26592
0.0976445, 0.0953811, 0.399292, -0.844388, 0.970225, -1.9932, 0, 0, -3.28779, 2.69098, -2.70027, 3.95868, -3.32515, 3.17796, 0, 1.56531, 0.0592277, -2.2607
0.0973185, 0.0953663, 0.413488, -0.959087, 0.869486, -1.96856, 0, 0, -3.28779, 2.69098, -2.70025, 3.96219, -3.32232, 3.17923, 0, 1.5657, 0.0559907, -2.25583
0.0969882, 0.0953086, 0.424539, -1.07375, 0.792279, -1.96357, 0, 0, -3.28779, 2.69098, -2.70022, 3.96513, -3.31979, 3.18019, 0, 1.56603, 0.0530969, -2.25159
0.0966714, 0.0952135, 0.43391, -1.18189, 0.738328, -1.97655, 0, 0, -3.28779, 2.69098, -2.70018, 3.96736, -3.31774, 3.18084, 0, 1.56629, 0.0507401, -2.24823
0.0963934, 0.0950949, 0.442865, -1.2741, 0.706516, -2.00182, 0, 0, -3.28779, 2.69098, -2.70014, 3.9688, -3.31631, 3.18118, 0, 1.56646, 0.0490829, -2.24594
0.0961883, 0.0949751, 0.451606, -1.33758, 0.695288, -2.03029, 0, 0, -3.28779, 2.69098, -2.70011, 3.96942, -3.31558, 3.18127, 0, 1.56654, 0.0482411, -2.24486
0.0960929, 0.0948814, 0.458993, -1.35925, 0.70266, -2.05155, 0, 0, -3.28779, 2.69098, -2.70007, 3.96922, -3.31563, 3.18113, 0, 1.56653, 0.0482694, -2.24504
0.0961355, 0.0948388, 0.462449, -1.33037, 0.726069, -2.05708, 0, 0, -3.28779, 2.69098, -2.70005, 3.96825, -3.31643, 3.18081, 0, 1.56641, 0.0491523, -2.24645
0.0963207, 0.0948577, 0.45895, -1.25184, 0.762659, -2.04429, 0, 0, -3.28779, 2.69098, -2.70003, 3.96659, -3.31791, 3.18032, 0, 1.5662, 0.0508025, -2.24896
0.0966195, 0.0949263, 0.447179, -1.13707, 0.810726, -2.01962, 0, 0, -3.28779, 2.69098, -2.70003, 3.96434, -3.31993, 3.17966, 0, 1.56591, 0.0530651, -2.25236
0.0969734, 0.0950107, 0.429373, -1.00875, 0.871251, -1.9977, 0, 0, -3.28779, 2.69098, -2.70003, 3.96162, -3.32229, 3.17882, 0, 1.56557, 0.0557354, -2.25637
0.0973153, 0.0950662, 0.410964, -0.890263, 0.94792, -1.99557, 0, 0, -3.28779, 2.69098, -2.70004, 3.95859, -3.32481, 3.17778, 0, 1.5652, 0.058585, -2.26068
0.0975986, 0.0950614, 0.397088, -0.79563, 1.04408, -2.02359, 0, 0, -3.28779, 2.69098, -2.70004, 3.95541, -3.32729, 3.17659, 0, 1.56481, 0.0613986, -2.26501
0.0978141, 0.0949951, 0.388626, -0.724846, 1.15788, -2.07884, 0, 0, -3.28779, 2.69098, -2.70005, 3.95225, -3.3296, 3.1753, 0, 1.56443, 0.0640056, -2.26912
0.0979844, 0.0948969, 0.381822, -0.668595, 1.27991, -2.14664, 0, 0, -3.28779, 2.69098, -2.70005, 3.9493, -3.33165, 3.17401, 0, 1.56406, 0.0662954, -2.27282
0.0981374, 0.0948065, 0.372037, -0.617752, 1.3959, -2.20948, 0, 0, -3.28779, 2.69098, -2.70005, 3.94672, -3.33338, 3.17283, 0, 1.56371, 0.0682092, -2.27599
0.0982811, 0.0947498, 0.358317, -0.570512, 1.49311, -2.25675, 0, 0, -3.28779, 2.69098, -2.70005, 3.94463, -3.33474, 3.17186, 0, 1.56342, 0.0697153, -2.27851
0.0984048, 0.0947299, 0.34423, -0.531915, 1.56438, -2.28756, 0, 0, -3.28779, 2.69098, -2.70006, 3.94313, -3.33572, 3.17116, 0, 1.56321, 0.0707878, -2.28029
0.0984887, 0.0947347, 0.334583, -0.508111, 1.60739, -2.30582, 0, 0, -3.28779, 2.69098, -2.70007, 3.94229, -3.33627, 3.17076, 0, 1.56309, 0.0714032, -2.28128
0.0985227, 0.0947539, 0.332051, -0.501927, 1.62121, -2.31399, 0, 0, -3.28779, 2.69098, -2.70009, 3.94213, -3.33638, 3.17068, 0, 1.56308, 0.0715514, -2.28146
0.0985079, 0.0947862, 0.336166, -0.512106, 1.60452, -2.31034, 0, 0, -3.28779, 2.69098, -2.70011, 3.94263, -3.33608, 3.17092, 0, 1.56316, 0.0712454, -2.28085
0.098452, 0.0948356, 0.344936, -0.535769, 1.55771, -2.29218, 0, 0, -3.28779, 2.69098, -2.70013, 3.94375, -3.33539, 3.17144, 0, 1.56333, 0.0705171, -2.27951
0.0983632, 0.094903, 0.356301, -0.570299, 1.48528, -2.2597, 0, 0, -3.28779, 2.69098, -2.70016, 3.94539, -3.33435, 3.17221, 0, 1.56358, 0.0694066, -2.27753
0.0982466, 0.0949803, 0.368794, -0.613946, 1.39566, -2.21717, 0, 0, -3.28779, 2.69098, -2.70018, 3.94746, -3.33301, 3.17316, 0, 1.56388, 0.0679586, -2.27502
0.0981051, 0.0950553, 0.381707, -0.665914, 1.2988, -2.17139, 0, 0, -3.28779, 2.69098, -2.7002, 3.94981, -3.33143, 3.17422, 0, 1.5642, 0.0662286, -2.2721
0.0979412, 0.0951167, 0.394472, -0.725217, 1.20308, -2.12846, 0, 0, -3.28779, 2.69098, -2.70021, 3.95232, -3.32969, 3.1753, 0, 1.56452, 0.0642929, -2.26893
0.0977586, 0.0951569, 0.40664, -0.790337, 1.11443, -2.09256, 0, 0, -3.28779, 2.69098, -2.70022, 3.95483, -3.32787, 3.17634, 0, 1.56483, 0.0622507, -2.26568
0.097564, 0.095174, 0.41776, -0.85878, 1.03648, -2.06573, 0, 0, -3.28779, 2.69098, -2.70021, 3.95721, -3.32608, 3.17728, 0, 1.56512, 0.0602177, -2.26251
0.0973666, 0.0951675, 0.42754, -0.927159, 0.971381, -2.04851, 0, 0, -3.28779, 2.69098, -2.7002, 3.95933, -3.32441, 3.17807, 0, 1.56536, 0.0583156, -2.25962
0.0971777, 0.0951414, 0.435913, -0.991356, 0.920361, -2.04049, 0, 0, -3.28779, 2.69098, -2.70019, 3.9611, -3.32296, 3.17869, 0, 1.56557, 0.0566612, -2.25715
0.0970106, 0.0951008, 0.442956, -1.04674, 0.883911, -2.04003, 0, 0, -3.28779, 2.69098, -2.70017, 3.96242, -3.32183, 3.17913, 0, 1.56572, 0.0553578, -2.25525
0.0968793, 0.0950535, 0.448586, -1.08821, 0.861831, -2.04439, 0, 0, -3.28779, 2.69098, -2.70015, 3.96325, -3.32107, 3.17938, 0, 1.56581, 0.0544864, -2.25402
0.0967977, 0.0950083, 0.452536, -1.11111, 0.853565, -2.05039, 0, 0, -3.28779, 2.69098, -2.70013, 3.96357, -3.32075, 3.17946, 0, 1.56585, 0.0540978, -2.25352
0.0967762, 0.0949744, 0.454274, -1.11217, 0.858176, -2.05517, 0, 0, -3.28779, 2.69098, -2.70011, 3.96338, -3.32086, 3.17937, 0, 1.56582, 0.0542079, -2.25376
0.0968189, 0.0949566, 0.45318, -1.09066, 0.874568, -2.05713, 0, 0, -3.28779, 2.69098, -2.7001, 3.96271, -3.32139, 3.17914, 0, 1.56574, 0.0547953, -2.25471
0.0969204, 0.0949554, 0.448979, -1.04936, 0.901796, -2.05688, 0, 0, -3.28779, 2.69098, -2.70009, 3.96161, -3.32229, 3.17876, 0, 1.5656, 0.0558027, -2.25628
0.0970662, 0.0949638, 0.442015, -0.994103, 0.939164, -2.05714, 0, 0, -3.28779, 2.69098, -2.70008, 3.96016, -3.32348, 3.17826, 0, 1.56542, 0.057143, -2.25834
0.0972358, 0.0949725, 0.433332, -0.932417, 0.98633, -2.06189, 0, 0, -3.28779, 2.69098, -2.70008, 3.95843, -3.32487, 3.17764, 0, 1.56521, 0.0587088, -2.26075
0.0974097, 0.0949718, 0.424198, -0.87111, 1.04265, -2.0744, 0, 0, -3.28779, 2.69098, -2.70008, 3.95653, -3.32636, 3.17694, 0, 1.56498, 0.0603856, -2.26335
0.0975733, 0.0949562, 0.415537, -0.814733, 1.1065, -2.09563, 0, 0, -3.28779, 2.69098, -2.70008, 3.95457, -3.32785, 3.17617, 0, 1.56474, 0.0620641, -2.26597
0.09772, 0.0949281, 0.407532, -0.765023, 1.17467, -2.12357, 0, 0, -3.28779, 2.69098, -2.70008, 3.95265, -3.32926, 3.17539, 0, 1.5645, 0.0636503, -2.26848
0.0978485, 0.0948943, 0.3999, -0.722069, 1.24254, -2.15428, 0, 0, -3.28779, 2.69098, -2.70008, 3.95088, -3.33052, 3.17464, 0, 1.56427, 0.0650691, -2.27074
0.0979597, 0.094864, 0.392375, -0.68559, 1.30484, -2.18335, 0, 0, -3.28779, 2.69098, -2.70008, 3.94935, -3.33159, 3.17397, 0, 1.56408, 0.0662656, -2.27267
0.0980521, 0.094843, 0.385307, -0.656127, 1.35665, -2.20748, 0, 0, -3.28779, 2.69098, -2.70009, 3.94813, -3.33243, 3.17344, 0, 1.56392, 0.0672005, -2.27418
0.0981219, 0.094834, 0.379553, -0.634833, 1.39439, -2.22501, 0, 0, -3.28779, 2.69098, -2.7001, 3.94729, -3.333, 3.17306, 0, 1.56381, 0.0678477, -2.27522
0.0981658, 0.0948369, 0.376058, -0.622876, 1.41574, -2.23525, 0, 0, -3.28779, 2.69098, -2.70011, 3.94685, -3.3333, 3.17286, 0, 1.56375, 0.0681933, -2.27575
0.0981816, 0.0948504, 0.375312, -0.620713, 1.41966, -2.23795, 0, 0, -3.28779, 2.69098, -2.70012, 3.94683, -3.33333, 3.17285, 0, 1.56376, 0.0682346, -2.27577
0.0981696, 0.0948739, 0.377275, -0.628042, 1.40633, -2.23298, 0, 0, -3.28779, 2.69098, -2.70013, 3.94721, -3.33309, 3.17302, 0, 1.56381, 0.0679813, -2.2753
0.098132, 0.0949052, 0.381527, -0.644077, 1.37727, -2.2207, 0, 0, -3.28779, 2.69098, -2.70014, 3.94796, -3.3326, 3.17336, 0, 1.56392, 0.0674539, -2.27437
0.0980709, 0.0949422, 0.387456, -0.667757, 1.33543, -2.20244, 0, 0, -3.28779, 2.69098, -2.70016, 3.94902, -3.33189, 3.17383, 0, 1.56407, 0.0666821, -2.27305
0.0979902, 0.0949808, 0.394461, -0.697941, 1.28472, -2.18018, 0, 0, -3.28779, 2.69098, -2.70017, 3.95033, -3.331, 3.17441, 0, 1.56425, 0.0657055, -2.27141
0.0978933, 0.095017, 0.401981, -0.733367, 1.22936, -2.15638, 0, 0, -3.28779, 2.69098, -2.70018, 3.95179, -3.32998, 3.17504, 0, 1.56444, 0.0645727, -2.26955
0.0977839, 0.0950463, 0.40965, -0.772765, 1.17338, -2.13347, 0, 0, -3.28779, 2.69098, -2.70018, 3.95334, -3.32888, 3.17568, 0, 1.56463, 0.0633417, -2.26756
0.0976658, 0.0950661, 0.417116, -0.814496, 1.12019, -2.11336, 0, 0, -3.28779, 2.69098, -2.70018, 3.95487, -3.32775, 3.17631, 0, 1.56482, 0.0620784, -2.26556
0.0975447, 0.0950745, 0.424092, -0.856594, 1.07238, -2.09729, 0, 0, -3.28779, 2.69098, -2.70018, 3.9563, -3.32667, 3.17687, 0, 1.565, 0.0608532, -2.26365
0.0974272, 0.0950723, 0.430327, -0.896702, 1.03178, -2.08567, 0, 0, -3.28779, 2.69098, -2.70018, 3.95757, -3.32569, 3.17736, 0, 1.56515, 0.0597358, -2.26194
0.0973206, 0.0950614, 0.435641, -0.932309, 0.999569, -2.07833, 0, 0, -3.28779, 2.69098, -2.70017, 3.95861, -3.32486, 3.17774, 0, 1.56527, 0.058791, -2.26052
0.097232, 0.0950443, 0.439887, -0.960926, 0.976429, -2.07462, 0, 0, -3.28779, 2.69098, -2.70016, 3.95937, -3.32423, 3.17801, 0, 1.56536, 0.0580732, -2.25946
0.097168, 0.0950245, 0.4429, -0.98027, 0.962588, -2.07359, 0, 0, -3.28779, 2.69098, -2.70014, 3.95983, -3.32384, 3.17817, 0, 1.56541, 0.057622, -2.25881
0.0971342, 0.0950051, 0.444556, -0.988796, 0.957956, -2.0743, 0, 0, -3.28779, 2.69098, -2.70013, 3.95997, -3.32371, 3.1782, 0, 1.56542, 0.0574591, -2.25861
0.0971325, 0.0949892, 0.444665, -0.985725, 0.962165, -2.07596, 0, 0, -3.28779, 2.69098, -2.70012, 3.95979, -3.32383, 3.17813, 0, 1.5654, 0.0575861, -2.25885
0.0971634, 0.0949777, 0.4432, -0.971611, 0.974703, -2.07842, 0, 0, -3.28779, 2.69098, -2.70011, 3.95932, -3.32419, 3.17796, 0, 1.56534, 0.0579852, -2.2595
0.0972225, 0.0949703, 0.440175, -0.947983, 0.994851, -2.08189, 0, 0, -3.28779, 2.69098, -2.70011, 3.95859, -3.32476, 3.17769, 0, 1.56525, 0.058621, -2.2605
0.0973032, 0.0949647, 0.435918, -0.917551, 1.0219, -2.08722, 0, 0, -3.28779, 2.69098, -2.7001, 3.95765, -3.3255, 3.17734, 0, 1.56513, 0.0594431, -2.26179
0.0973976, 0.0949588, 0.430834, -0.883305, 1.05489, -2.09529, 0, 0, -3.28779, 2.69098, -2.7001, 3.95655, -3.32634, 3.17692, 0, 1.56499, 0.0603922, -2.26328
0.0974974, 0.09495, 0.425302, -0.847934, 1.0925, -2.10644, 0, 0, -3.28779, 2.69098, -2.7001, 3.95537, -3.32724, 3.17646, 0, 1.56485, 0.0614054, -2.26486
0.0975957, 0.0949383, 0.419684, -0.813707, 1.13297, -2.12041, 0, 0, -3.28779, 2.69098, -2.7001, 3.95416, -3.32814, 3.17599, 0, 1.5647, 0.0624214, -2.26646
0.0976882, 0.0949245, 0.414215, -0.782179, 1.17413, -2.13621, 0, 0, -3.28779, 2.69098, -2.7001, 3.953, -3.329, 3.17551, 0, 1.56455, 0.0633844, -2.26798
0.0977713, 0.0949103, 0.409049, -0.75438, 1.21343, -2.15241, 0, 0, -3.28779, 2.69098, -2.7001, 3.95194, -3.32977, 3.17507, 0, 1.56442, 0.0642471, -2.26935
0.0977962, 0.094849, 0.413126, -0.749502, 1.25868, -2.19301, 0, 0, -3.28795, 2.69097, -2.7001, 3.95104, -3.33042, 3.1747, 0, 1.56431, 0.0649869, -2.27052
0.0978081, 0.0947978, 0.415448, -0.746583, 1.28955, -2.22313, 0, 0, -3.28824, 2.69095, -2.70011, 3.95035, -3.33098, 3.17446, 0, 1.56422, 0.0656262, -2.27148
0.0978312, 0.0947867, 0.412499, -0.739248, 1.29913, -2.23232, 0, 0, -3.28864, 2.69092, -2.70011, 3.9499, -3.33142, 3.17438, 0, 1.56418, 0.0661679, -2.27221
0.0978579, 0.0948091, 0.406649, -0.731742, 1.29009, -2.22591, 0, 0, -3.28912, 2.69088, -2.70012, 3.94973, -3.33174, 3.17445, 0, 1.56418, 0.066582, -2.27267
0.0978662, 0.0948398, 0.402433, -0.732165, 1.26935, -2.21556, 0, 0, -3.28967, 2.69084, -2.70013, 3.94981, -3.3319, 3.17466, 0, 1.56422, 0.0668239, -2.27283
0.0978394, 0.094858, 0.402481, -0.745454, 1.24191, -2.20889, 0, 0, -3.29028, 2.6908, -2.70014, 3.95016, -3.33187, 3.17498, 0, 1.5643, 0.0668617, -2.27265
0.0977761, 0.0948603, 0.406222, -0.770985, 1.2087, -2.20591, 0, 0, -3.29092, 2.69075, -2.70015, 3.95075, -3.33167, 3.17539, 0, 1.5644, 0.0666929, -2.27216
0.0976864, 0.0948552, 0.411343, -0.804786, 1.16863, -2.20216, 0, 0, -3.2916, 2.6907, -2.70016, 3.95154, -3.3313, 3.17588, 0, 1.56452, 0.0663396, -2.27139
0.0975825, 0.0948518, 0.415715, -0.84278, 1.1216, -2.19414, 0, 0, -3.29229, 2.69064, -2.70016, 3.9525, -3.3308, 3.17642, 0, 1.56467, 0.0658341, -2.27039
0.0974711, 0.0948532, 0.418484, -0.882865, 1.06963, -2.18184, 0, 0, -3.29299, 2.69059, -2.70017, 3.95356, -3.33021, 3.177, 0, 1.56483, 0.0652103, -2.26923
0.097354, 0.094855, 0.419961, -0.924991, 1.01606, -2.16821, 0, 0, -3.2937, 2.69053, -2.70017, 3.95469, -3.32954, 3.17758, 0, 1.56499, 0.0645007, -2.26796
0.097229, 0.0948498, 0.420789, -0.969719, 0.964013, -2.15662, 0, 0, -3.29441, 2.69047, -2.70017, 3.95581, -3.32883, 3.17814, 0, 1.56515, 0.0637417, -2.26664
